,Replicate,CREB,JNK,EGFR,NFkB,p38,ERK1/2,AKT,MEK1,p70s6k,STAT3,STAT5,prolif,prolifTwo
TCPS DMSO,1,25,55.5,1306,11.5,6.5,1340.75,87,130,0,32.5,3.5,1,1
TCPS lap,1,33,93.5,12.5,11,35.5,23.75,28,21.5,0,28,4.5,0.024383271,0.024383271
TCPS tems,1,54,268.5,1240.5,10.5,44.5,2331.75,95,328,1.5,36,0.5,0.452257739,0.452257739
TCPS soraf,1,95,1300,2780.5,18.5,38.5,3977.75,252,1217.5,1.5,77,15,0.042527219,0.042527219
gel DMSO,1,13,82,653.5,5.5,5.5,1015.25,64.5,86,0,14.5,1.5,1,1
gel lap,1,19,241.5,8.5,6.5,35.5,163.25,29,46.5,0,7.5,5.5,0.960656349,0.960656349
gel tems,1,38,595.5,932.5,5.5,53.5,2238.75,98.5,325.5,0,30,3.5,0.556271173,0.556271173
gel soraf,1,36,965.5,2299.5,8.5,10,3128.25,202,793,0,23.5,0.5,1.186826864,1.186826864
single DMSO,1,26,61,19.5,1.5,3,355.75,30,141.5,0,41,0,1,1
single lap,1,16,62.5,11,0,7.5,332.75,25.5,147,0,0.5,0,0.027743422,0.027743422
single tems,1,9,44,12,0,1.5,945.25,26,150.5,0,23.5,0,0.125584456,0.125584456
single soraf,1,7.5,38.5,19.5,4.5,0,281.75,22.5,141.5,0,38.5,0,-0.015810403,-0.015810403
sph DMSO,1,22,37.5,10.5,0.5,0,735.75,26.5,157.5,0,4,0,1,1
sph lap,1,2,42.5,11.5,2,0,228.75,28,22.5,0,10.5,0,0.453512342,0.453512342
sph tems,1,7.5,38.5,15.5,1,0,769.25,26,83,0,8.5,0,0.738465373,0.738465373
sph soraf,1,9.5,27,3.5,1,0,215.75,27,80,0,0,0,0.480251581,0.480251581
serum DMSO,1,9,18.5,7,2.5,0,202.75,31,129.5,0,5.5,0,1,1
serum lap,1,17,39.5,22.5,0.5,0,123.25,38.5,159,0,14.5,0,0.478039675,0.478039675
serum tems,1,0,17,0,0,0,174.75,26,114.5,0,0,0,0.847144309,0.847144309
serum soraf,1,6,29.5,3,0,0,163.75,23.5,132.5,0,6.5,0,0.718658443,0.718658443
TCPS DMSO,2,3,6.5,1107,4.5,0,606.25,44,52.25,0,25,23.5,1,1
TCPS lap,2,6.5,51,5,4,28,0,20,6.25,0,21,22,0.024383271,0.024383271
TCPS tems,2,22,544,1122,7,73.5,577.25,23,91.25,0,30,21,0.452257739,0.452257739
TCPS soraf,2,31.5,998,2411,14,7,2335.75,113,901.75,0,43.5,29,0.042527219,0.042527219
gel DMSO,2,3.5,137,721.5,4,0,1442.75,26.5,89.25,0,21,22,1,1
gel lap,2,8.5,242,5,3,54.5,53.25,17,25.25,0,19.5,24.5,0.960656349,0.960656349
gel tems,2,4,504,260,3,4,902.75,21,71.25,0,20,19.5,0.556271173,0.556271173
gel soraf,2,7,277,797.5,5,0,1508.75,28,265.75,0,24,18,1.186826864,1.186826864
single DMSO,2,3.5,1.5,25,3,0,822.75,16,113.25,0,17,16,1,1
single lap,2,3,8,7,5.5,0,296.75,22,0,0,19,20,0.027743422,0.027743422
single tems,2,0.5,10,15,2,0,711.75,16,47.75,0,18,14.5,0.125584456,0.125584456
single soraf,2,1,7,0,4,0,588.25,17,21.25,0,21,17.5,-0.015810403,-0.015810403
sph DMSO,2,0.5,0,10,2,0,508.75,17,39.75,0,16,15,1,1
sph lap,2,0.5,0.5,0,0,0,586.75,15,25.25,0,14,13,0.453512342,0.453512342
sph tems,2,0,0,5,0,0,469.75,18,17.25,0,16,16,0.738465373,0.738465373
sph soraf,2,0,0,4,0,0,449.75,16,38.25,0,15.5,14,0.480251581,0.480251581
serum DMSO,2,4.5,0,10,6,0,305.75,20,10.25,0,20.5,18,1,1
serum lap,2,0,0,0,1,0,420.75,18,18.25,0,15,15,0.478039675,0.478039675
serum tems,2,1,0,3.5,2.5,0,503.25,16,31.25,0,14,14,0.847144309,0.847144309
serum soraf,2,0,0,0,0,0,358.75,15,9.25,0,14,13,0.718658443,0.718658443
TCPS DMSO,2,5.5,43,1503.5,5,0,1428.75,67,126.25,0,36,25.5,1,1
TCPS lap,2,9.5,87,5,6,8,0,18,6.25,0,27.5,23.5,0.024383271,0.024383271
TCPS tems,2,11.5,251,1230,6,19.5,2227.75,64,282.75,0,40,25,0.452257739,0.452257739
TCPS soraf,2,21.5,1068,2221.5,8,1.5,3080.75,105,816.25,0,43.5,25,0.042527219,0.042527219
gel DMSO,2,0.5,52,738,2,0,1170.75,31,68.25,0,15,18,1,1
gel lap,2,0,176,1,2,5,90.75,15,6.25,0,17,18,0.960656349,0.960656349
gel tems,2,9.5,487.5,945.5,5,10,1656.75,39,188.25,0,19,20,0.556271173,0.556271173
gel soraf,2,14.5,787,2226.5,5.5,0,2638.75,98,529.25,0,27,20,1.186826864,1.186826864
single DMSO,2,4,0,18,5,0,782.25,22,43.25,0,16,18,1,1
single lap,2,0.5,6,6,1,0,726.75,20,15.25,0,19,15,0.027743422,0.027743422
single tems,2,0,4.5,5,3,0,693.75,17,86.75,0,17,15,0.125584456,0.125584456
single soraf,2,3.5,6,1.5,1,0,600.25,20,85.25,0,19,16,-0.015810403,-0.015810403
sph DMSO,2,0,5,12,5,0,538.75,17.5,32.25,0,22,15.5,1,1
sph lap,2,0,2.5,3,2,0,476.75,18.5,49.75,0,15,16,0.453512342,0.453512342
sph tems,2,3.5,0,6,0,0,523.75,20,19.25,0,14,17.5,0.738465373,0.738465373
sph soraf,2,5,0,8.5,5,0,505.25,18,30.75,0,18,17,0.480251581,0.480251581
serum DMSO,2,0,0,1,0.5,0,427.75,19,16.25,0,13,14,1,1
serum lap,2,1,0,0,0,0,280.25,15,0.25,0,15,13.5,0.478039675,0.478039675
serum tems,2,3.5,0,0,2.5,0,339.25,15,7.25,0,16,13.5,0.847144309,0.847144309
serum soraf,2,0,0,0,0.5,0,396.75,18,12.75,0,16,14.5,0.718658443,0.718658443
