,Replicate,CREB,JNK,EGFR,NFkB,p38,ERK1/2,AKT,MEK1,p70s6k,STAT3,STAT5,prolif,prolifTwo
TCPS DMSO,1,19,11.5,878,3.5,2.5,648.75,58,65,0,21.5,7.5,1,1
TCPS lap,1,16,79.5,9.5,6.5,61.5,17.75,25.5,30,0,9,0,0.024383271,0.024383271
TCPS tems,1,41,257.5,796.5,11,92.5,764.75,52,145.5,1.5,20.5,0.5,0.452257739,0.452257739
TCPS soraf,1,52,803.5,1829,15,19.5,2198.75,172.5,877.5,5.5,43.5,6.5,0.042527219,0.042527219
gel DMSO,1,19,139,487.5,4.5,14.5,1254.25,43,114.5,0,17.5,2.5,1,1
gel lap,1,20,208.5,10.5,8,51.5,121.75,38,56.5,0,17.5,6,0.960656349,0.960656349
gel tems,1,64,617.5,329.5,5.5,102.5,998.25,42,158.5,0,11,5,0.556271173,0.556271173
gel soraf,1,35,504,715.5,6.5,7.5,1842.75,70,684.5,0,27,0,1.186826864,1.186826864
single DMSO,1,22,72.5,77,1.5,0,151.75,39,100.5,0,23.5,0,1,1
single lap,1,17,43.5,19.5,0.5,0,191.25,34,190.5,0,25.5,0,0.027743422,0.027743422
single tems,1,10,66,14.5,0,0.5,297.75,25.5,149.5,0,19,0,0.125584456,0.125584456
single soraf,1,13,51,13.5,3,0,262.75,30,146,0,3.5,0,-0.015810403,-0.015810403
sph DMSO,1,5,55.5,17,5.5,0.5,254.75,24.5,136,0,13,0,1,1
sph lap,1,0,53.5,12.5,4.5,0,246.75,25,19.5,0,0,0,0.453512342,0.453512342
sph tems,1,7,26,5.5,0,0,230.75,28,50.5,0,0,0,0.738465373,0.738465373
sph soraf,1,1.5,34.5,11,3.5,0,230.75,24,96.5,0,4,0,0.480251581,0.480251581
serum DMSO,1,22,36.5,12.5,2.5,0,202.75,27,84.5,0,8,0,1,1
serum lap,1,9.5,33.5,9,8.5,0,119.25,29.5,25.5,0,0,0,0.478039675,0.478039675
serum tems,1,3,0,8.5,1.5,0,238.75,31,69,0,6,0,0.847144309,0.847144309
serum soraf,1,8,25,5.5,0,0,162.75,19,59,0,14,0,0.718658443,0.718658443
