,Replicate,CREB,JNK,EGFR,NFkB,p38,ERK1/2,AKT,MEK1,STAT3,STAT5,prolif,prolifTwo
TCPS tems,1,46,602.5,312,13.5,1004.5,6971.75,41.5,2653,54.5,2,0.6509,0.624474506
TCPS soraf,1,22,393,96,17.5,24.5,3252.75,33,466.5,24.5,4.5,0.1057,0.187509757
gel DMSO,1,18.5,187.5,69.5,14.5,148,8466.75,33.5,2490.5,38.5,11.5,1,1
gel lap,1,29,229.5,18.5,12.5,200.5,7028.75,31,1545.5,27,4.5,1.048,1.305148851
gel tems,1,36,392.5,154.5,12.5,388.5,6510.75,35.5,2576.5,15.5,1.5,0.6476,4.169319109
gel soraf,1,17.5,190.5,34.5,11.5,19.5,2402.75,27,430.5,8.5,6.5,0.5831,0.957554959
single DMSO,1,25,183.5,48.5,10.5,96.5,4301.25,41,1436,26,0,1,1
single lap,1,20,156.5,51,11.5,118.5,3704.25,40,1367,22.5,1.5,0.1714,0.11769991
single tems,1,13.5,167.5,50.5,5.5,63.5,4644.75,34,1421.5,18.5,0,0.3307,0.252419536
single soraf,1,15.5,118.5,30,6.5,62.5,5161.25,35,323.5,15.5,1,0,0.018375028
sph DMSO,1,14,111,20,7.5,101,4978.75,34,808,13.5,0,1,1
sph lap,1,18,110.5,27.5,9,80.5,1472.75,34,808,20.5,0,0.337,0.203237153
sph tems,1,15.5,112.5,19.5,8,89.5,1435.75,33,1102.5,4,0,0.324,0.43146053
sph soraf,1,6,101.5,19.5,4.5,68.5,1065.75,31,411.5,24.5,0,0.0881,0.060138051
serum DMSO,1,16,97.5,26.5,2,21.5,1028.75,30,379.5,20,0,1,1
serum lap,1,7,0,2,2.5,0,497.75,22,176.5,0,0,,0.646483553
serum tems,1,2.5,39.5,16.5,4.5,20,2238.25,23,469.5,11,0,,0.561711585
serum soraf,1,5.5,101.5,9.5,3,37.5,1577.75,27.5,530.5,4.5,0,,1.045499783
TCPS DMSO,2,2,14,37,6,12,8105.75,19,1291.25,30,22,1,1
TCPS lap,2,6.5,103,10,7,162,7975.75,21,1245.75,41,24,0.4065,0.505486567
TCPS tems,2,7,198.5,275.5,9,664.5,8476.25,18.5,2083.25,44,21,0.6509,0.624474506
TCPS soraf,2,10,127.5,73,11,15,2763.25,19,380.25,31,27,0.1057,0.187509757
gel DMSO,2,9.5,104,59.5,9,39,8186.75,24,1899.25,37,26,1,1
gel lap,2,6.5,116.5,8,7,63,4902.75,18,1008.25,22.5,21,1.048,1.305148851
gel tems,2,10,202.5,97,7,317,6993.25,20.5,1952.25,25,26,0.6476,4.169319109
gel soraf,2,1,122,29,5,7,2358.75,17,341.25,17.5,23,0.5831,0.957554959
single DMSO,2,0,67,28.5,3,0,1743.75,16.5,696.25,18,18,1,1
single lap,2,6.5,70,17,6,0,2857.25,16,320.25,25,21.5,0.1714,0.11769991
single tems,2,3.5,47,21,4.5,0,2213.75,18,360.25,22.5,20,0.3307,0.252419536
single soraf,2,0,43,26,1,0,1792.25,16,432.25,19,20,0,0.018375028
sph DMSO,2,0.5,3.5,9,2,0,2559.75,20,465.25,19.5,22,1,1
sph lap,2,0.5,0,1,3,0,1793.75,18,433.25,16,18,0.337,0.203237153
sph tems,2,0,15,8,0,0,1658.75,15,324.25,15,14,0.324,0.43146053
sph soraf,2,0.5,0,3,2,0,1516.75,18,221.25,17,16,0.0881,0.060138051
serum DMSO,2,1,16.5,5,6,0,1423.25,18,353.25,16,17.5,,1
serum lap,2,0,0,2,0.5,0,1072.75,16,321.25,18,19,,0.646483553
serum tems,2,9.5,3,10.5,12,0,1396.75,26,264.75,24,27,,0.561711585
serum soraf,2,0.5,10,11,4.5,0,1355.75,16.5,208.25,17.5,15,,1.045499783
TCPS DMSO,2,4.5,131.5,72,5,289,9543.75,20.5,1320.25,53,23,1,1
TCPS lap,2,3.5,182,6,6,439,8946.75,18.5,1608.25,41,23,0.4065,0.505486567
TCPS tems,2,20,547.5,309.5,10,1435,7680.75,22,2589.25,37,27.5,0.6509,0.624474506
TCPS soraf,2,11.5,316,69,12,15,3176.25,22,432.25,34,29.5,0.1057,0.187509757
gel DMSO,2,9.5,163.5,56,10,128.5,9070.75,22,2366.25,42,27.5,1,1
gel lap,2,10.5,205,20,7,132,6292.25,20,1208.75,33,25,1.048,1.305148851
gel tems,2,14.5,433.5,155,6.5,1086,7242.75,18,2489.25,26,21,0.6476,4.169319109
gel soraf,2,6.5,459,49,8,82,3917.75,18,463.75,21.5,24.5,0.5831,0.957554959
single DMSO,2,4.5,67.5,18,0,2,3589.25,16,662.25,18.5,18,1,1
single lap,2,0,43.5,10.5,0,0,2875.75,16.5,466.75,17,18,0.1714,0.11769991
single tems,2,1.5,53.5,17.5,0,0,3282.75,14,506.75,22,19,0.3307,0.252419536
single soraf,2,3.5,2.5,3.5,4,0,1327.75,18,106.25,17.5,17,0,0.018375028
sph DMSO,2,1.5,34,18,4,0,1719.75,17.5,572.75,16.5,20,1,1
sph lap,2,2,30,6.5,3,0,1719.25,16,377.25,16.5,17,0.337,0.203237153
sph tems,2,0,28,6,0,0,1841.25,15,403.25,15,14,0.324,0.43146053
sph soraf,2,0,16.5,11.5,3,0,1419.75,18,345.25,17,17.5,0.0881,0.060138051
serum DMSO,2,2,0,7,3,0,1429.75,16,468.75,18,19.5,,1
serum lap,2,3.5,0,4,3.5,0,2525.75,20,639.75,20,21,,0.646483553
serum tems,2,0,0,7,1,0,1326.75,15.5,224.25,15.5,16.5,,0.561711585
serum soraf,2,0.5,11.5,5,5.5,0,1703.75,18,243.25,18,16.5,,1.045499783
