,Replicate,CREB,JNK,EGFR,NFkB,p38,ERK1/2,AKT,MEK1,STAT3,STAT5,prolif,prolifTwo
TCPS DMSO,1,26.5,51.5,73.5,16.5,56.5,7649.25,38.5,1825,48,11,1,1
TCPS lap,1,27,100,12.5,12.5,131,6432.75,25,1219.5,7.5,9,0.4065,0.505486567
TCPS tems,1,70,241,260.5,18.5,544.5,7640.25,34,2186.5,42.5,8.5,0.6509,0.624474506
TCPS soraf,1,25,172.5,88.5,18.5,38,2526.75,25,376.5,23.5,2.5,0.1057,0.187509757
gel DMSO,1,21.5,132.5,71.5,12,56.5,8424.75,34,1986.5,11.5,8.5,1,1
gel lap,1,16,131,18.5,12.5,97.5,5888.75,40,1094.5,16.5,0,1.048,1.305148851
gel tems,1,22,242,113.5,11.5,281.5,6495.75,33.5,2053.5,15.5,0,0.6476,4.169319109
gel soraf,1,14,170.5,44.5,10,25,2339.75,26,475,3.5,0.5,0.5831,0.957554959
single DMSO,1,17,179.5,50.5,14,146.5,6453.75,39.5,1317,21,0,1,1
single lap,1,22,149.5,43.5,11.5,122.5,4217.25,44,1196,23.5,3.5,0.1714,0.11769991
single tems,1,17,168,53.5,2.5,61,3389.25,33.5,1347.5,11,8.5,0.3307,0.252419536
single soraf,1,16,143.5,29.5,8.5,59,4701.75,37.5,1182.5,17.5,6.5,0,0.018375028
sph DMSO,1,11,127,29.5,4.5,102.5,3004.25,27,1047,12.5,0,1,1
sph lap,1,16.5,101,24,4.5,39,3215.25,33,964.5,5,0,0.337,0.203237153
sph tems,1,6,110.5,12,5.5,51,1558.75,31.5,1039.5,9.5,1.5,0.324,0.43146053
sph soraf,1,12,88.5,17.5,5.5,13.5,954.25,30.5,402.5,11.5,0,0.0881,0.060138051
serum DMSO,1,12,98.5,11.5,5.5,50.5,1207.75,30,368.5,0,0,1,1
serum lap,1,18,93.5,27,8.5,40,943.75,30,644,25.5,0,,0.646483553
serum tems,1,0,64,10.5,0,35.5,2681.75,18,695.5,0,0,,0.561711585
serum soraf,1,6,117,14.5,8.5,0,1883.75,29,713.5,0,0,,1.045499783
TCPS DMSO,1,55,196.5,124,19.5,328.5,8943.75,37,1864.5,92,17.5,1,1
TCPS lap,1,25.5,226.5,12.5,13.5,397.5,8356.75,26,26,66,4,0.4065,0.505486567
